Categorie;Inhoud 1;Inhoud 2;Inhoud 3;
Belastingen;Op 30 mei heb ik onderstaande melding gedaan omtrent Onroerendgoedbelasting met biljetnummer: 36977102<br /><br />'Geachte heer<wbr />/mevrouw,<br /><br />Tot heden is er nog geen bedrag afgeschreven voor mijn onroerend goedbelasting. In uw schrijven van 28-2-2015 vermeld u dat de eerste afschrijving begint rond 26 maart 2015.<br /><br />Vriendelijk verzoek mij te informeren waarom dit nog niet is gebeurd en wanneer dit wel gaat gebeuren. <br /><br />Alvast bedankt voor uw reactie en met vriendelijke groet,<br /><br />Annemieke Christ'.<br /><br />Van u ontving ik een ontvangstbevestiging op 30 mei jl. en dat er binnen 5 werkdagen antwoord wordt gegeven. <br /><br />Tot heden heb ik niets meer vernomen noch is er belasting afgeschreven. <br /><br />Vriendelijk verzoek deze kwestie op te lossen.<br /><br />Dank en met vriendelijke groet,<br />Annemieke Christ<br /><br />;Gemeente Amsterdam;Digitaal;
Belastingen;R.Geest  BSN 0672.75.059  betreft kwijtschelding belastingen 2010 -2012 en nu te betalen 2013-2015 , waarom eerst over de zelfde auto 2010 gekocht de op agils automaat met controle  omdat ik reuma patient ben en niet kan schakelen , wel dus kwijtschelding vraagt de ombudsman  en de laatste jaren niet . Zie bijlag brief ;Ja;23-2-2015;
Belastingen;Geachte mevrouw, mijnheer, <br /><br />ik heb een klacht over de onduidelijke communicatie in 2 brieven die ik heb ontvangen: 'Herinnering Gecombineerde aanslag' en 'Rentebeschikking Gecombineerde aanslag' (Biljetnummer 36983811). In de 'Herinnering Gecombineerde aanslag' staat dat ik 389,41 euro moet betalen. Er wordt hier nog niet gesproken over euro 97,85 euro. <br /><br />In de originele aanslag van 28-2 staat dit bedrag al uitgesplitst, het eerste bedrag gaat om reinigingsbelasting e.d., het tweede bedrag is berekend over de WOZ-waarde. Ik heb een bezwaar ingediend over de WOZ-waarde, dus bij nabellen bleek dat ik het laatste bedrag nog niet hoef te betalen: ik kan uitspraak van het bezwaar afwachten. <br /><br />;Nee;Spreek mij aan met:;
Belastingen;Geachte mevrouw<wbr />/meneer,<br /><br />Ik heb ruim vier weken geleden telefonisch contact genomen met het telefoonnummer 020-255-4800 om het kwijtscheldingsformulier per direct aan  te vragen, omdat ik het formulier niet (meer) heb.<br /><br />Vandaag heb ik weer gebeld, omdat ik geen bericht heb gekregen. Jammer genoeg heeft de mevrouw aan de lijn mij moeten vertellen dat er nooit iets is verzondenof genoteerd n.a.v mijn telefoongesprek vier weken geleden.<br /><br />Bij het eerste gesprek, vier weken geleden, kreeg ik vermeld dat ik nog weinig tijd had om kwijtschelding aan te vragen voor de gemeente belasting voor afvalstoffen en ook voor waternet. <br /><br />Ik ben erg teleurgesteld, omdat ik het formulier niet netjes op tijd heb ontvangen en in dit geval niet eens verzonden is.  Daarbij valt de tijdsperiode die ik heb gekregen om nog een teruggave Te kunnen ontvangen voor kwiitschelding weg!<br /><br />Uiteraard wil ik hierbij graag bij de aanvraag van mijn nieuwe formulier de datum van mijn eerste aanvraag aanhouden,;Ja, maar ik heb geen naam kunnen onthouden of genoteerd uit vertrouwen dat een aanvraag voor een formulier wel goed zou komen en zeker met de bevestiging van mevrouw dat het verstuurd zou worden.;Ik wil graag dat mijn kwijtscheldingsverzoek rekening houdt met deze fout dat er niks is verzonden vier weken geleden en ik uitstel krijg van de einddatum dat mijn kwijtscheldingsverzoek voor afvalstoffenheffing en waternet word verlengd<wbr />/ uitgesteld.;
Belastingen;Sinds 1 juli ben ik ingeschreven in de gemeente Hilversum, en daarmee uitgeschreven uit Amsterdam. <br />U schrijft nog steeds bedragen af van mijn rekening NL10 ABNA 0514 3437 53 ;nvt;Graag de incasso stoppen en evt teveel betaalde terugstorten.;
Belastingen;Middels dit schrijven, hoop ik dat u onmiddellijk de onterechte en waanzin beslaglegging op mijn bijstand stopzet! Anno mei jongstleden wordt er namelijk ca. 50,- maandelijks in beslag genomen door het DBGA! Dit vind ik geheel onterecht.<br /><br />De zaak is immers bij mw Bamfo bekend en zoals u weet, loopt de zaak nog bij de Rechtbank te Amsterdam en zolang de rechterlijke macht zijn oordeel niet gegeven heeft, verwacht ik dat u begrijpt dat de zaak nochtans loopt en dus nergens op slaat dat u zomaar beslag laten leggen!<br /><br />Mevrouw Tency van de rechtbank, heeft de zaak in behandeling genomen en dus heeft de griffie het nog niet aan de rechter voorgedragen, anders kreeg ik al bericht hierover.<br /><br />Wat ik absoluut niet begrijp en volkomen onzin vindt, is dat men zomaar beslag op mij legt - terwijl de zaak nog loopt en dus de rechter niet gesproken heeft, en zolang de rechter dat niet gedaan heeft is het ongebruikelijk en erg laf om iemand aan te merken en diegene het te laten betalen. ;Jazeker! Mw Bamfoe van Dienst Gemeente Belastingen Amsterdam. ;Dat de beslaglegging (geheel onterecht), de zaak loopt nog bij de rechtbank Amsterdam. Contacteer mevrouw Tency maar en ik begrijp ook niet echt waarom mevrouw het niet wat sneller kan afhandelen. Echter is het van essentieel belang dat ik mijn bedrag terugkrijg, het bedrag dat onterecht in beslaggenomen is door u en dat de stopzetting in deze stopt!<br /><br />Totdat de rechter zijne uitspraak heeft geveld - dan pas kunnen we zien we er gelijk had al die tijd. De zaak loopt immers nog nu, sinds gister, exact een jaar al en ik wil mijn recht.  Stopzetten van de onterechte sanctie alsmede (!) het terug te betalen bedrag wat medio mei dit jaar gaande is. Ik vind het echt belachelijk en ik wil dat u mij gaarne maandag of dinsdag hierover contacteert. Het was trouwens zo dat ik mijn griffierkosten destijds niet (op tijd) betaalde en nu wil dat ik doen, maar dan moet dat bedrag terugbetaald worden en stoppen met het beslagleggen. Anders neem ik verdere stappen ook tegen u.;
Belastingen;Mijn schoonmoeder (M. Schwartz-Mijdema) is 11-5-2014 overleden. En er wordt nog steeds combi heffing geincasserd. Ik heb augustus en september vandaag laten storneren. het betreft: Aanslagnummer:000000000000035334676Gecomb aanslag 2014 ;Incasso afdeling;Incasso verder laten vervallen!;
Belastingen;Hallo DGBA,<br />(ik wist niet onder welke noemer ik het beste kon schrijven: vraag, melding, of klacht). Op 1 April ben ik van de 1e C. Huygensstraat 108 bel (of hs) naar mijn tijdelijke adres (wisselwoning i.v.m. renovatie 1e C. Huygensstraat) gegaan aan de Marnixkade 87 B. Mijn Waternetbelasting aanslag was in April abusievelijk naar de 1e C. Huygensstraat gestuurd. Ik kreeg maar steeds geen aanslag en heb het bedrag net per overschrijving overgemaakt na contact met Waternet.<br />Voor de Afvalstoffenheffing heb ik ook nog geen aanslag gekregen en ik ben bang dat deze aanslag misschien ook naar de 1e C. Huygensstraat is gestuurd. Zou U kunnen nakijken hoe dit zit en me mocht ik dit bedrag nog moeten betalen een acceptgiro sturen naar de Marnixkade.<br />Bij voorbaat dank. Op het einde van het jaar kan ik weer terug naar mijn gerenoveerde woning aan de 1e C. Huygensstraat 108 bel (of hs).;;;
Belastingen;Op 13 oktober hebben wij een bericht gestuurd dat ons bezwaar tegen een parkeerboete gegrond was verklaard en dat we wilden weten wanneer het geld terug gestort werd. Op 14 oktober heeft u al gereageerd dat het geld binnen 2 weken (uitspraak bezwaarschrift was 9 september!) terug gestort zou worden. Tot op heden hebben wij niets ontvangen. referentienummer is 2014-0237939;;Geld terugstorten.;
Belastingen;I got a Parkeerbelasting with the Biljetnummer 36110478 and the Betalingskenmerk 8000 0000 3611 0478 but I paid a Parkeerticket.<br />Betaald van 3-10-2014 14:16 Betaald tot 4-10-2014 14:16 and Betaald van 4-10-2014 11:20 Betaald tot 5-10-2014 12:00<br /><br />I don't know what went wrong?;;I don't want to pay the Parkeerbelasting because there was no information at the Parkeerautomat that I have to pay in another area again!;
14020;Ik probeer online een afspraak te maken om een paspoort aan te vragen via formulier https:<wbr />/<wbr />/formulieren.amsterdam.nl<wbr />/TRIPLEFORMS<wbr />/LOKETAMSTERDAM<wbr />/formulier<wbr />/evAmsterdam<wbr />/scAfspraakmaken.aspx<wbr />/fAfspraakMakenDetails <br /><br />De eerstvolgende mogelijkheid om bij stadsdeel centrum een afspraak te maken is 1 juni 2015. Of de site werkt niet goed of er wordt onvoldoende ingezet om burgers te faciliteren.<br /><br />Ik heb gekeken, maar heb niet de indruk dat ik iets verkeerd gedaan heb.;website https:<wbr />/<wbr />/formulieren.amsterdam.nl<wbr />/TRIPLEFORMS<wbr />/LOKETAMSTERDAM<wbr />/formulier<wbr />/evAmsterdam<wbr />/scAfspraakmaken.aspx<wbr />/fAfspraakMakenDetails;Ik wil dat de gemeente kijkt of en waar het proces niet goed loopt en zorgt dat een online afspraak eerder te maken is (bij voorkeur dezelfde week nog).<br /><br />Graag zou ik een terugkoppeling ontvangen;
14020;ik wilde verkeerd parkeren op de stoep melden en moet dan naam en telefoonnummer geven + het nummerbord van de auto's die verkeerd parkeerden + aangeven waarom dat niet mag <wbr />/ overlast gaf. ik moest uw medewerker zelfs vertellen dat handhaving bij dit soort meldingen zelf langs de locatie rijdt en dan handelt naar bevinden.;een vrouwelijke medewerker omstraaks 13.50 op zaterDAG 11 april;dit soort overlast anoniem laten melden. geen naam en geen telefoonnummer.<br /><br />mijn buren parkeren in de regel op de stoep om parkeergeld te besparen. maar ik heb geen zin in ruzie met hen. als u mijn  naam en telefoon vraagt voel ik me veilig omdat ik niet vertrouw dat u dit niet 'per ongeluk' laat vallen. zeker niet als de mevrouw aan de helpdesk niet weet waar zij het over heeft.;
Openbare ruimte;Uitrit van stadsdeelwerf van Stadsdeel West (Sneevlietweg) gaat niet open voor de fiets.;Ik denk dat dit euvel wel bekend is bij de betrokken ambtenaren. Ook zullen zij dit wel gemeld hebben, maar er gebeurt niets.;Er zijn naar mijn mening meerdere oplossingen'<br />- sensor voor fiets plaatsen (net als bij een fietsstoplicht).<br />- de slagbomen inkorten, zodat fietsen er (veilig) langs kunnen.<br />- Een belletje plaatsen voor de poortwachter.<br /><br />M.vr.gr. Roel van Lieshoud;
Openbare ruimte;onderhandse deals over parkeerplekken in de staringstraat;nee;het probleem oplossen voordat er wel een dode valt, schijnbaar is gewond of gewoon de actie op zich, niet genoeg?!BV<br />laden<wbr />/lossen plek weghalen.<br />vergunning bloemenstal 48-BZ-RD afnemen door misbruik.<br />GH-GH-47 dader opinrijding met dodelijk wapen aanpakken<br />;
Stadsloket;Ik ben slecht ziend. De nummering via het digitale bord is voor mij onleesbaar.<br />Ik gedraag mij daardoor wat onhandig en wordt op bitse wijze terechtgewezen, zonder dst ik de gelegenheid krijg om uit te leggen dat ik slecht ziend ben. De toon, de bitse manier, geen enkel oogcontact  van en geen mogelijk om maar iets te zeggen tegen de betrokken medewerker werkt niet rustgevend maar uitermate frusterend. Dit vond plaats op maandag 13 april 2015. A.s maandag moet ik mijn ID-bewijs ophalen. Ik moet u zeggen dat ik er als een berg tegenop kijk.;Helaas,. Het enige wat ik weet, blonde mevrouw, blank en ik schat midden dertig.;Uw personeel trainen in sociale vaardigheden en bewust maken dat een mens soms beperkingen heeft.;
Stadsloket;Op 2 april wilde ik een nieuw paspoort aanvragen. Het oude was bijna verlopen. ;Dat was een medewerker in 2010. Wie dat was, weet ik nu niet meer natuurlijk, want ik dacht ook, dat alles goed verwerkt was. Ik had toen tenslotte mijn toen nieuwe paspoort gekregen -nu verlopen - en mijn oude identiteitskaart ongeldig laten maken.;Ik zou graag willen, dat de onterechte melding van 'vermissing van mijn identiteitskaart' weer ongedaan wordt gemaakt. Want nu treft mij die blaam, terwijl het een fout van de baliemedewerker in 2010 was, die dit veroorzaakt heeft. <br />Verder zou ik het ook fijn vinden, wanneer dit niet nog een keer kan gebeuren. ;
Werk en inkomen;De wachttijd is veel te lang. Ik heb gister bijna 2 uur in de wacht gestaan en vervolgens nog niet geholpen.<br />Vandaag weer een poging gewaagd, en zit nu al richting de 30 minuten. Dit is niet normaal!!<br />Ook hoor ik graag hoe veel wachtenden ik voor mij heb en wat de wachttijd is. Dit is echt pure tijdverspilling en ik ben nog niet eens geholpen!;De gehele afdeling Inkomensvoorziening - Burgemeester en Wethouders van Amsterdam. ;Meer mensen aannemen om de telefonische service te verlenen en daarmee de wachttijd te verlagen. Daarnaast ook meer informatie verstrekken omtrent de wachttijd, aldus: hoe veel wachtenden voor je en wat de wachttijd bedraagt. ;
Overig;Op 13<wbr />/04<wbr />/2015 belde ik herhaaldelijk met het nummer 020-5519645 om nadere info over een door mij schijnbaar begane overtreding (uw nr.10363000255884) De reactie was afwisselend 'in gesprek' en 'dit nummer is niet beschikbaar'. Daarna heb ik gebeld met 14920 omdat ik vermoedde dat er iets niet klopte. Antwoord was dat ik maar moest blijven bellen en dat het probleem met het toestel raar, maar bekend was. Na tientallen malen bellen zonder resultaat kreeg ik tegen 4 uur na lang aandringen een alternatief nummer dat ik  op dinsdag en woensdag kon bellen tussen 8 en 12 uur.<br />Dit nummer (020 2564123) heb ik op 14<wbr />/04 om ca. 9 uur gebeld. Een slecht Nederlands sprekende medewerker was duidelijk geirriteerd en absoluut niet bereid op mijn vraag om nadere info in te gaan (naam: Chintoe). Hij volstond er mee mij te wijzen op de mij allang bekende verzetsprocedure bij het Openbaar Ministerie. Op  mijn vraag over wat ik precies had misdaan ging hij niet in. Plots smeet hij de hoorn op de haak.;De heer Chintoe (020 2564123);De telefoon 020-5519645 normaal laten functioneren. De heer Chintoe ter verantwoording roepen. In het vervolg kundig relevante info verstrekken als daarom wordt gevraagd. Mij rapporteren over het resultaat.;
Parkeren;CITION verstuurt brieven met 14020 als telefonisch informatieloket. Als ik met 14 020 bel krijg ik nooit CITION aan de lijn, maar word ik altijd te woord gestaan door de algemene klantenafdeling. De antwoorden die zij van CITION moeten geven zijn vaak onvolledig. Ik vind dat CITION mij hierin onbeschoft behandeld. Als ik onvoldoende informatie krijg, kan ik alleen via de mail meer info opvragen. Dat heb ik gedaan en vervolgens moet ik meer dan een week wachten op antwoord. CITION ondertekend haar brieven met 'Namens de burgemeester en wethouders'. Ik vind de communicatiestijl van CITION beneden alle peil en volstrekt niet klantgericht. Terwijl wij burgers toch betalen voor hun 'dienst'verlening. ;;Zich beraden op de communicatiestijl van CITION<br />. Klantvriendelijker benadering eisen van CITION.;
Openbare ruimte;Het is niet mogelijk de Handelstraat in te voeren bij een MORA zonder gebruik te maken van de a. Dus de invoer 'Handelstraat' wordt niet geaccepteerd.<br />;;Verbeteren website;
14020;chemocar hoek wibautstraat <wbr />/ 1e oosterparkstraat niet aanwezig op zaterdag 18 april 14:15 terwijl op de website staat dat deze van 13- 16:30 aanwezig is<br />ik heb het telefoonnummer van de gemeente gebeld maar de mevrouw kon mij niet verder helpen;;zorgen dat via het telefoonnummer van de gemeente de mensen die verantwoordelijk zijn voor de chemocar bereikbaar zijn;
Overig;Een maand geleden vertelde mijn bovenbuurman mij dat de huurder van Nwe Prinsengracht 96  uit haar huis moest. Afgelopen vrijdag kwam ik haar op de buitentrap tegen en vroeg haar naar het waarom. Zij bevestigde dat de huurovereenkomst per 1 mei a.s. door de AHAM  van het gehele pand was opgezegd. Ze voegde daar aan toe dat dat een gevolg was van een tip van een buurman. Dat vond ik vreemd en vroeg haar wie dat dan geweest moest zijn, waarbij ik alle naaste buren  opsomde, omdat ik mij niet niet kon voorstellen dat ik noch iemand anders dat zou doen. Haar reactie was dat 'weet ik niet' en ze ging haar huis in zonder nog iets te zeggen. Zelf zei ik toen nog tegen haar dat er dan een valse verklaring over een buurman is afgelegd. Daar kwam geen reactie meer op. Omdat dit vreemde verhaal over een tip van eeen buurman in mijn hoofd bleef hangen, heb ik de volgende ochtend bij haar aangebeld om nadere uitleg<br /><br /><br />;Meldpunt Zoeklicht De vraag is of daar een tip hierover is binnengekomen.Feit is dat de AHAM<wbr />/verhuurder deze tip in in een brief aan de huurster heeft vermeld. Ik noem de ontwikkeling na twee dagen ernstig geval van smaad en laster als gevolg daarvan;Mijn bovenbuurman wist 2 maanden geleden al Schonfeld uit het huis moest. Dat had hij van mijn bovenbuurvrouw gehoord. Dat Is mevrouw C.Stuut  Die vertelde mijn bovenbuurman Bart de Beer  toen ze in het ziekenhuis lag dat ik de tipgever zou zijn. . <br />Ik word dus beschuldigd van iets waar ik niet bij betrokken was<wbr />/ben. Er is dus iemand geweest die zich heeft voorgedaan als een buurman. Iemand die blijkbaar iets wist over de huurovereenkomst van mevrouw Schonfeld en dat daar blijkbaar iets speelde dat niet in overeenstemming was met de overeenkomst. Iemand ook die ervoor gezorgd heeft dat ik nu door de omringende buren gezien wordt als diegene die de  tip heeft doorgegeven. Dat vind ik een schandelijk en ongehoord gebeuren. Is er online of per post een tip over het pand 96 is binnengekomen en hebt u a.d.h. daarvan actie hebt ondernomen. Feit is dat de AHAM<wbr />/verhuurder deze tip in zijn brief aan.  ;
Overig;;Per e-mail;Nee;
Basisinformatie;Op 04 april 2015 overleed mijn moeder A.W.M. 't Hoen BSN 066183704. Voor de afhandeling van haar begrafenispolis vraagt de verzekeraar een uitreksel uit het basisregister, waaruit blijt hoeveel kinderen zij heeft gehad. Ik ben haar zoon, en ik had haar overlijdensakte bij me. Aan het loket werd mij medegedeeld dat vanwege wet bescherming persoonsgegevens er geen informatie verstrkt kan worden. DIT IS JEREINST PAARSE KROKODIL. Immers ik moet wel alles regelen betreft nalatenschap etc. en de Gemeente AMSTERDAM (!) werkt mij hier bureaucratisch in tegen. Bestuursrechtelijk dient de maatregel geen enkel belang, want mevrouw is overleden, sterker nog het hindert mij in voltrekken van de afhandeling van overlijden van wijlen mijn moeder. Mij werd geadvoseerd een trouwboekje te vragen bij de Gemeente Rotterdam, mijn moeder is sinds 1977 gescheiden en er zijn drie kinderen...<br />Gelukkig was de Gemeente Rotterdam wel begripvoller en ik mag een verzoek indienen, maar de klacht staat! Ombudsman?<br />;Eens even beter kijken naar haar protocol familie-nabestaanden van een overleden persoon (eerste graads relatie) en de door mij bevonden lacune aanpakken, want dit is geen service, dit is hinder.;Nee;
14020;Zie mijn klacht van 13 april jl. thans vestig ik uw aandacht op het niet nakomen van uw eigen informartie dat er binnen 1 week contact met mij zou worden opgenomen.;Zie mijn klacht 13 april jl.;Ja;
14020;Bij het doorgeven van mijn verhuizing binnen amsterdam pat het systeem mijn nieuwe postcode niet. De postcode waar ik naar toe ga verhuizen is 1018EJ Amsterdam, 61 ;Nee;Per e-mail;
Stadsloket;Wachttijden in stadsdeelkantoor zuid zijn verschrikkelijk lang. Voor het aanvrageb van een id kaart, moeten jonge kinderen mee en we moesten een uur wachten. Wat nog vervelender was, was dat je ook nog eens Kinderen van 0 en 2 moest meebrengen om de id kaarten op te halen en dan ook nog eens een uur moest wachten. Dit kan toch niet? Op de koop toe warrn er werkzaamheden aan de toiletten! de eerst mogelijke mogelijkheid om een afspraak te naken was meer dan 2 maanden later!;Beter dienstverlening, meer loketten open en niet wachten voor ophalen en geen kinderen mee voor of aanvragen of ophalen;Nee;
Stadsloket;voor inzage van het bouwarchief kan ik pas over 3 weken terecht - dat is absurd lang, dan is er een capaciteitsprobleem bij de Gemeente;zorgen dat er bij zeer grote vraag naar inzage meer capaciteit komt daarvoor, en minstens: aangeven wat een normale termijn is en excuses maken voor traagheid;Nee;
Stadsloket;When I came to the information desk in the Geemente on 19th of January to book an appointment for my first registration, the officer on the desk signed the appointment for the 2nd of February and told me that the registration will be valid from the day of the booking 19th January not from 2nd of February,  but now I can see that I'm registered from 2nd of February? ? <br />I wonder why is like that?;I expect my registration to be valid from 19th of January 2015 not from 2nd of February 2015.;Nee;
14020;De app 'Opgeruimd' functioneert niet. Het lukt me niet om meldingen te versturen. Of er lijkt helemaal niks te gebeuren, of ik krijg een melding dat het versturen mislukt is. Ik gebruik een iphone 4S met iOS8.3 en de laatste versie van de app.;Per e-mail;Nee;
14020;Bij het bellen naar het nummer 14 020 word ik opgehangen omdat ik niet doorgeschakeld kan worden of zij een afdeling niet kunnen bereiken. Ik vind dat ik een legitieme vraag heb: 'waarom is mijn verhuizing nog niet doorgevoerd?' De afdeling is niet bereikbaar en ik moet later maar terugbellen. Dit vind ik geen service en ik vind het prima een terugbelverzoek te krijgen of iets dergelijks maar ophangen zonder verdere informatie kan gewoon niet... ;Ontvangen en bespreken met het team over 'wat service en dienstverlening is'. Ik begrijp dat ik soms geirriteerd kan overkomen, maar het 'druk' hebben is geen reden om iemand van geen antwoord te voorzien. ;Nee;
14020;Ik heb 25 april via de website een BRP aangevraagd. Deze heb ik nog steeds niet ontvangen. Vervolgens heb ik vier maal gebeld met de gemeente, waarop ik steeds niet geholpen kon worden. De betreffende afdeling was steeds onbereikbaar. Ik heb het formulier nodig voor een verhuizing deze week (29-april). Door het missen van dit formulier loop ik de kans geen woning te krijgen. ;Telefonisch;Nee;
Stadsloket;Rond 14:30 uur kwam ik binnen om een paspoort aan te vragen. Ik had een pasfoto bij me en vroeg bij de receptie of deze geschikt was. Hij deed hem onder een plastic doorschijnend vel en zei dat het een geschikte pasfoto was. Vervolgens heb ik ruim twee uur gewacht en toen k aan de beurt was bleek de foto uiteindelijk toch niet te kloppen. Ik ben zwaar verkouden en ben eerder weggegaan van mijn werk. De medewerker van loket 7 kwam erbij staan en zei lacherig (met een grijns op zijn gezicht): 'ja meneer, deze foto is nou eenmaal niet geschikt. We kunnen verder ook niks doen.' Hij had geen boodschap aan mijn argument dat ik het nota bene eerder aan een andere collega van hem gevraagd had en dat hij de foto op basis van hetzelfde doorschijnende vel wel had goedgekeurd. Waar ik het meest ontstemd over ben is dat hij geen moment erkenning had voor mijn frustratie en woede en direct alles afwimpelde. De medewerkster aan loket 6 (waar ik geholpen werd) nam het toen weer over.;Een onderzoek naar de manier waarop de betreffend medewerker mij te woord stond en een gesprek met een intermediair waarbij al dan niet excuses wordt aangeboden. In ieder geval wil ik in een persoonlijk gesprek kenbaar maken dat ik onheus bejegend ben.;Nee;
Werk en inkomen;ik kan ggen aanvraag doen voor scholieren vergoeding ;niemand;Anders, nl;
14020;Ambtenaar geeft aan bereikbaar te zijn voor nadere vragen via 14020.<br />14020 krijgt geen contact met ambtenaar, ook niet met stadsdeelkantoor.<br />Burger weet niet waar hij aan toe is, betreffende ambtenaar kan net zo goed een week met vakantie zijn. <br />Conclusie is;Hebt u deze klacht eerder ingediend:;Hebt u een voorkeur voor de manier waarop de gemeente met u communiceert over deze klacht:;
14020;aanvragen via de net kan ik niet doen omdat mijn geborte datum is niet vast gesteld op dag en mand;2-4-2012;gemmente;
14020;In uw digitale nieuwsbrief is het met regelmaat niet mogelijk om de 'bekendmakingen' aan te klikken, die kunnen dus niet gelezen.;Per e-mail;Nee;
Basisinformatie;Heb een geboorteuitreksel voor onze dochter LORIAN ELIZABETH JENS (15-7-2005) besteld vanuit het buitenland en ontvangen maar de gegevens kloppen niet.... Mijn vrouw wordt vermeld onder de naam van haar vorige echtgenoot PENROSE, maar wij waren op dat moment getrouwd... Haar meisjesnaam is BRIGGS, zoals vermeld op onze Huwelijks Akte (ook door U verzonden in dezelfde envelop), maar zij stond ingeschreven op dat moment onder mijn achternaam: JENS.;Graag een nieuw Geboorteuitreksel voor LORIAN ELIZABETH JENS sturen naar mijn adres in de Verenigde Staten:<br /><br />Olaf Jens<br />105 Alta Vista Drive<br />Grass Valley, CA<br />95945<br />Verenigde Staten Van Amerika;Nee;
Basisinformatie;Ik heb mijn verhuizing online doorgeven en onderstaand mailtje ontvangen. Ik sta nu, bijna 1 maand later nog steeds ingeschreven in Almere. Graag ontvang ik gaande een bevestiging van mijn verhuizing via de mail en de post.<br /><br />Met vriendelijke groet en een fijn weekend alvast,<br />Elisa Reim<br />0631773899<br /><br />Betreft: Ontvangstbevestiging<br />Correspondentienummer: 2015-0374770<br /> <br /> <br />Geachte mevrouw Reim,<br /><br />Hartelijk dank voor het doorgeven van uw verhuizing naar Amsterdam. Wij hebben die ontvangen op 8-4-2015 om 8:47 uur. U krijgt, na de verhuisdatum die u opgaf, een schriftelijke bevestiging op uw nieuwe adres.<br /><br />Hebt u nog vragen? Bel 14 020. Zorg dat u bovenstaand correspondentienummer bij de hand hebt.<br /><br />Met vriendelijke groet,<br /><br />Gemeente Amsterda;Mijn verhuizing in het systeem zetten.;Nee;
14020;Ik had vanmorgen (1 mei, 9:00) een afspraak Inzage bouwarchief.  Het stadhuis was dicht.;Ik wil dat de gemeente haar afspraken database op orde krijgt;Nee;
Stadsloket;De wachttijd voor het maken van een afspraak is veel te lang. Met name het bouwarchief.;Per e-mail;Nee;
Stadsloket;Ik heb eind vorige week mijn paspoort verlengd en moest die na een week ophalen. <br /><br />A: Vermeldt gerust dat u op 1 mei als geloof ik zo'n beetje enige in de stad dicht bent!!! Heel vervelend en onnodig, terwijl ik vol ongeloof voor de dichte deur stond kwamen er nog meer mensen aan, ook allemaal stom verbaasd en iedereen vroeg zich af waarom, er stond volgens mij zelfs niets op de deur. Dit is toch weer een staaltje domme niet-klantvriendelijkheid van de eerste orde! Ik dacht, misschien is de deur defect, ik loop om, de deur aan de Amstel is wel open, het loket van de opera ook, maar u laat aan die kant de mensen zelfs hun fiets op slot doen, naar binnen lopen, en dan pas aan het eind merkt men dat de deuren dicht zijn, ook daar dus weer verschillende mensen compleet verbaasd. Zet in ieder geval daar dan een bordje 'Dicht' neer! Zucht...;Nee;Per e-mail;
Stadsloket;Op internet staat voor burgerzaken in nieuw west (kantoor osdorpplein) een openingstijd van 08.00u. De balies gaan echter pas om half 9 aan de slag (met een volle wachtruimte...). <br />Graag danwel de tijden op internet aanpassen, danwel volgens belofte op tijd beginnen. Veel burgers plannen hier naar namelijk, en dan is den half uur in de ochtend veel tijd.<br />Alvast dank<br />Maarten Bekking;Nee;Per e-mail;
14020;Ik zond u op 13 april 2015 met rappel op 21 april een klacht. Volgens uw eigen procedure zou u binnen een week contact met mij opnemen. Tot op heden nog niks van u gehoord. ;Nou eerst haar eigen klachtenprocedures naleven. Zie voor het overige mijn klacht mijn klacht van 13 april 2015;Ja;
Stadsloket;Geachte mijnheer, mevrouw,<br />Mijn partner uit Brazilie (woonachtig in Brazilie, op vakantie in NL) en ik willen een geregistreerd partnerschap aangaan. Daartoe hebben wij een afspraak gemaakt bij de gemeente, stadsdeel centrum, voor het inleveren van de M46 verklaring. Ter plekke werd onze aanvraag niet in behandeling genomen omdat gesteld werd dat er een uittreksel van het bevolkingsregister + bewijs van ongehuwdheid van mijn partner nodig zijn. Echter, op uw website staat worden naast het te downloaden formulier alleen de paspoort vermeld, als ik via de zoekmachine informatie over de M46 opzoek. Zie: http:<wbr />/<wbr />/www.amsterdam.nl<wbr />/veelgevraagd<wbr />/?productid=%7b7116B289-270B-47B2-AA69-C080A8D4CE86%7d<br />Een heel vervelende verrassing voor ons, door deze slechte informatievoorziening loopt ons geplande partnerschap en de emigratie vertraging op. ;Ik wil duidelijkheid over wat er nu precies nodig is om de M46 verklaring aan te vragen, en een duidelijke verwijzing naar uw beleid op de website. ;Nee;
14020;ik vind dat jullie procedure aanvraag paspoort niet helder is, ik slecht geholpen word en er veel te veel tijd mee kwijt ben;de medewerkers beter instructie geeft<br />het formulier aanpast en de website<br />en de wachrtijden verkort;Nee;
Stadsloket;Zoon van mde elder, dhr. A.L. Nieuwendam, heeft op 29 april in stadsdeel Oost, omstreeks 10.00 uur, zijn dochter erkend. De rechtbank had toegewezen dat hij dit, in het bijzijn van zijn ex-partner, mocht erkennen. Echter was er een aantekening dat het adres van meneer, in verband met de huidige relatie tussen hem en zijn voormalig partner, geheim moest blijven. Dit stond aangetekend in het systeem. De persoon heeft dit echter in het bijzijn van haar hardop genoemd. ;Bewustwording. En hulp bieden wanneer door de fout vervelende gevolgen ontstaan, bijv. kwijtraking van woning. Persoon waar het aan verteld is heeft diverse psychische stoornissen en kan o.a. gaan stalken. De gemeente is voor deze eventuele gevolgen aansprakelijk. ;Nee;
